indicators,usa,australia,difference,definition,url,source
Intellectual property receipts,100,13.9,86.1,"Charges for use of intellectual property (%, total trade).",http://stat.wto.org/StatisticalProgram/WSDBStatProgramSeries.aspx,"World Trade Organization, Trade in Commercial Services database, based on the sixth (2009) edition of the International Monetary Fund’s Balance of Payments Manual and Balance of Payments database (2007–15). "
Cultural and creative services exports,100,16,84,Cultural and creative services exports (% of total trade).,http://stat.wto.org/StatisticalProgram/WSDBStatProgramSeries.aspx,"World Trade Organization, Trade in Commercial Services database, based on the sixth (2009) edition of the International Monetary Fund’s Balance of Payments Manual and Balance of Payments database; Bureau of Economic Analysis (BEA) released October 2016 (2007–15). "
Total computer software spending,100,25.2,74.8,Total computer software spending (% of GDP).,https://www.ihs.com/index.html,"IHS Global Insight, Information and Communication Technology Database. "
Patent applications by origin,85.4,10.7,74.7,Number of resident patent applications filed at a given national or regional patent office (per billion PPP$ GDP).,http://www.wipo.int/ipstats/,"World Intellectual Property Organization, Intellectual Property Statistics; International Monetary Fund, World Economic Outlook Database, October 2016 (PPP$ GDP) (2010–15). "
Venture capital deals,100,26.3,73.7,Venture capital per investment location: Number of deals (per billion PPP$ GDP).,https:// www.imf.org/external/pubs/ft/weo/2016/02/ weodata/index.aspx,"International Monetary Fund, World Economic Outlook Database October 2016 (PPP$ GDP) (2015–16). "
Video uploads on YouTube,100,44.8,55.2,Number of video uploads on YouTube (scaled by population 15-69 years old).,http://esa.un.org/unpd/wpp/Excel-Data/population.htm,"United Nations, Department of Economic and Social Affairs, Population Division, World Population Prospects: The 2012 Revision (population). "
Research talent in business enterprise,84.8,33.2,51.6,Researchers in business enterprise (%).,http://data.uis.unesco.org,"UNESCO Institute for Statistics, UIS online database (2007–15)"
Patent families filed in at least two offices,52.7,11.1,41.6,Number of patent families filed by residents in at least two offices (per billion PPP$ GDP).,https://www3.wipo.int/ipstats/index.htm,"World Trade Organization, Trade in Commercial Services database, based on the sixth (2009) edition of the International Monetary Fund’s Balance of Payments Manual and Balance of Payments database (2009–15). "
Citable documents H index,100,63.5,36.5,The H index is the economy's number of published articles (H) that have received at least H citations.,http://www.scimagojr.com/countryrank.php?year=2016,SCImago (2017) SJR—SCImago Journal & Country Rank. Retrieved February 2017. 
Generic top-level domains (gTLDs),100,63.6,36.4,Generic top-level domains (gTLDs) (per thousand population 15-69 years old).,https://esa.un.org/unpd/wpp/,"United Nations, Department of Economic and Social Affairs, Population Division, World Population Prospects: The 2015 Revision (population). "
Global entertainment and media market,97.1,63.9,33.2,Global entertainment and media market (per thousand population 15-69 years old).,http://www.pwc.com/outlook," PwC’s Global Entertainment and Media Outlook, 2016–2020"
"Global R&D companies, average expenditure top 3",100,68.6,31.4,Average expenditure on R&D of the top three global companies.,http://iri.jrc.ec.europa.eu/scoreboard16.html,EU JRC Industrial R&D Investment Scoreboard 2016. 
Knowledge diffusion,47.3,17.9,29.4,NA,NA,NA
Knowledge creation,63.4,34.3,29.1,NA,NA,NA
High-tech and medium high-tech output,65.6,36.6,29,High-tech and medium-high-tech output (% of total manufactures output).,http://www.unido.org/statistics.html ,"United Nations Industrial Development Organization (UNIDO), Industrial Statistics Database, 3- and 4-digit level of International Standard Industrial Classification ISIC Revision 3 (INDSTAT4 2016)"
High-tech imports,68.4,40.5,27.9,High-tech net imports (% of total trade).,http://comtrade.un.org/,"United Nations, COMTRADE database; Eurostat, Annex 5: High-tech aggregation by SITC Rev. 4, April 2009 (2010–15). "
Domestic market scale,98.6,71,27.6,"Domestic market size as measured by GDP, bn PPP$.",https://www.imf.org/external/pubs/ft/weo/2016/02/weodata/index.aspx,"World Bank, International Monetary Fund, World Economic Outlook Database October 2016 (PPP$ GDP) (2016). "
Investment,72.2,45.2,27,NA,NA,NA
State of cluster development,76,49.6,26.4,"Average answer to the survey question on the role of clusters in the economy: In your country, how widespread are well-developed and deep clusters (geographic concentrations of firms, suppliers, producers of related products and services, and specialized institutions in a particular field)? [1 = nonexistent; 7 = widespread in many fields.]",https://www.weforum.org/reports/the-global-competitiveness-report-2016-2017-1,"World Economic Forum, Executive Opinion Survey 2016–2017"
Knowledge and technology outputs,54.4,32.1,22.3,NA,NA,NA
University/industry research collaboration,76.2,54.5,21.7,"Average answer to the survey question: In your country, to what extent do businesses and universities collaborate on research and development (R&D)? [1 = do not collaborate at all; 7 = collaborate extensively.]",https://www.weforum.org/reports/the-global-competitiveness-report-2016-2017-1,"World Economic Forum, Executive Opinion Survey 2016–2017"
Market capitalization,59.4,37.9,21.5,Market capitalization (also known as market value) is the share price times the number of shares outstanding (including their several classes) for listed domestic companies.,https://data.worldbank.org/indicator/CM.MKT.LCAP.GD.ZS?locations=US-AU,World Federation of Exchanges database; extracted from the World Bank’s World Development Indicators database (2008–15).
