indicators,usa,australia,difference
Intellectual property receipts,100,13.9,86.1
Cultural and creative services exports,100,16,84
Total computer software spending,100,25.2,74.8
Patent applications by origin,85.4,10.7,74.7
Venture capital deals,100,26.3,73.7
Tertiary level inbound mobility,24.1,95.5,71.4
Video uploads on YouTube,100,44.8,55.2
Research talent in business enterprise,84.8,33.2,51.6
Country-code top-level domains (ccTLDs),2.9,52.8,49.9
Patent families filed in at least two offices,52.7,11.1,41.6
Scientific and technical publications,27.4,68.3,40.9
Citable documents H index,100,63.5,36.5
Generic top-level domains (gTLDs),100,63.6,36.4
Global entertainment and media market,97.1,63.9,33.2
"Global R&D companies, average expenditure top 3",100,68.6,31.4
Knowledge diffusion,47.3,17.9,29.4
Knowledge creation,63.4,34.3,29.1
High-tech and medium high-tech output,65.6,36.6,29
High-tech imports,68.4,40.5,27.9
Domestic market scale,98.6,71,27.6
Investment,72.2,45.2,27
State of cluster development,76,49.6,26.4
School life expectancy,74.1,100,25.9
Trademark application class count by origin,10.6,36.1,25.5
Joint venture/strategic alliance deals,29.4,53.9,24.5
ISO 14001 environmental certificates,2.2,26.1,23.9
Knowledge and technology outputs,54.4,32.1,22.3
University/industry research collaboration,76.2,54.5,21.7
Market capitalization,59.4,37.9,21.5
Domestic credit to private sector,76,55.1,20.9
GERD performed by business enterprise,54.6,33.7,20.9
Creative goods and services,48.2,27.4,20.8
PCT international applications by origin ,40.8,20.6,20.2
Tertiary education,38.1,58.1,20
Knowledge absorption,55.2,36.6,18.6
"Foreign direct investment, net outflows",49.2,30.6,18.6
Market sophistication,83.4,65.3,18.1
ICTs and organizational model creation,82.3,64.8,17.5
QS university ranking average score top 3 universities,99,81.6,17.4
High-tech exports,24.2,6.9,17.3
ISO 9001 quality certificates,3,19.6,16.6
Creative goods exports,36.6,21.6,15
Research and development (R&D),78.8,64,14.8
Innovation linkages,46.6,32,14.6
"Trade, competition, & market scale",92.7,78.2,14.5
Gross expenditure on R&D (GERD),65,50.9,14.1
Credit,85.5,72.5,13
Regulatory quality,75.3,88,12.7
Employment in knowledge-intensive services,66.5,78.8,12.3
Gross capital formation,37.1,48.7,11.6
Business sophistication,56.4,45.4,11
Electricity output,48,37.3,10.7
ICTs and business model creation,79.2,68.5,10.7
Ease of resolving insolvency,89.2,78.7,10.5
Logistics performance,89.2,80,9.2
Online creativity,65.4,56.2,9.2
"Government expenditure on education per pupil, secondary",26.2,17.7,8.5
Online e-participation,89.8,98.3,8.5
Knowledge impact,52.5,44,8.5
Cost of redundancy dismissal,100,92.1,7.9
Creative outputs,53.5,46.1,7.4
"Assessment in reading, mathematics, and science",70.3,77.1,6.8
Ecological sustainability,45,51.8,6.8
ICT services imports,23.9,17.1,6.8
Industrial designs by origin,6.6,13.2,6.6
Rule of law,86.3,92.7,6.4
Ease of protecting minority investors,64.7,58.3,6.4
ICT services exports,13.7,7.3,6.4
National feature films produced,12.7,7.1,5.6
Ease of starting a business,91.2,96.5,5.3
GERD financed by abroad,7.8,2.7,5.1
Government's online service,92.8,97.8,5
Ease of getting credit,95,90,5
"Foreign direct investment, net inflows",49.5,54.5,5
Wikipedia yearly edits,58.8,63.8,5
Political stability and absence of violence/terrorism,80.8,85.7,4.9
Intellectual property payments,43.5,38.9,4.6
Tertiary enrolment,75.2,79.2,4
Education,54.7,58.6,3.9
Expenditure on education,45,48.9,3.9
Infrastructure,61,64.8,3.8
Information and communication technologies (ICTs),85.2,88.9,3.7
Political environment,80.3,83.9,3.6
Researchers,51.2,54.8,3.6
Printing and publishing output,27.4,30.7,3.3
Human capital and research,57.2,60.2,3
GERD financed by business enterprise,82.3,79.4,2.9
Government effectiveness,79.7,82.2,2.5
Environmental performance,84.7,87.2,2.5
GDP per unit of energy use,26.8,29.2,2.4
Graduates in science and engineering,26.6,28.9,2.3
Ease of paying taxes,83.8,85.6,1.8
"Applied tariff rate, weighted mean",90.5,89,1.5
ICT use,75.7,77,1.3
Institutions,86.2,87.4,1.2
Business environment,88.1,86.9,1.2
Growth rate of GDP per person engaged,46.9,48.1,1.2
Intensity of local competition,83,81.9,1.1
General infrastructure,52.8,53.7,0.9
Regulatory environment,90.4,91.2,0.8
ICT access,82.7,82.3,0.4
Intangible assets,50.1,50.3,0.2
Knowledge workers,67.4,67.5,0.1
