state,reading,science,math,average
Massachusettes,46,44,51,47
New Hampshire,45,46,46,45.67
Minnesota,40,45,48,44.33
Vermont,44,44,42,43.33
Utah,38,50,38,42
New Jersey,41,35,46,40.67
Wisconsin,39,40,41,40
Montana,37,41,39,39
Nebraska,38,41,38,39
North Dakota,34,42,39,38.33
Connecticut,43,35,36,38
Virginia,36,40,38,38
Washington,37,38,39,38
Pennsylvania,39,-,36,37.5
Indiana,37,36,39,37.33
Idaho,37,40,34,37
Iowa,36,38,37,37
Maine,36,38,35,36.33
Ohio,36,38,35,36.33
Wyoming,36,38,35,36.33
Maryland,37,36,35,36
South Dakota,34,40,34,36
Missouri,36,40,31,35.67
Oregon,36,36,34,35.33
Kansas,35,34,33,34
Kentucky,36,35,28,33
Rhode Island,35,32,32,33
Tennessee,33,37,29,33
Colorado,28,-,37,32.5
Michigan,32,36,29,32.33
Texas,28,37,32,32.33
Illinois,35,28,32,31.67
Alaska,31,-,32,31.5
New York,33,30,31,31.33
North Carolina,30,31,33,31.33
Arizona,31,25,35,30.33
Delaware,31,29,30,30
Florida,30,33,26,29.67
Georgia,30,31,28,29.67
South Carolina,28,31,26,28.33
Arkansas,27,28,25,26.67
Nevada,27,27,26,26.67
Oklahoma,29,28,23,26.67
California,28,24,27,26.33
Hawaii,26,23,30,26.33
West Virginia,27,27,21,25
Alabama,26,21,17,21.33
Mississippi,20,20,22,20.67
New Mexico,20,21,21,20.67
Louisiana,23,-,18,20.5
District Of Columbia,19,-,9,14
