indicators,country,scores
Citable documents H index,USA,100
Cost of redundancy dismissal,USA,100
Generic top-level domains (gTLDs),USA,100
School life expectancy,Australia,100
Total computer software spending,USA,100
Video uploads on YouTube,USA,100
Online e-participation,Australia,98.3
Government's online service,Australia,97.8
Ease of starting a business,Australia,96.5
Ease of getting credit,USA,95
Government's online service,USA,92.8
Rule of law,Australia,92.7
Cost of redundancy dismissal,Australia,92.1
Ease of starting a business,USA,91.2
Regulatory environment,Australia,91.2
"Applied tariff rate, weighted mean",USA,90.5
Regulatory environment,USA,90.4
Ease of getting credit,Australia,90
Online e-participation,USA,89.8
Ease of resolving insolvency,USA,89.2
"Applied tariff rate, weighted mean",Australia,89
Information and communication technologies (ICTs),Australia,88.9
Business environment,USA,88.1
Regulatory quality,Australia,88
Institutions,Australia,87.4
Environmental performance,Australia,87.2
Business environment,Australia,86.9
Rule of law,USA,86.3
Institutions,USA,86.2
Political stability and absence of violence/terrorism,Australia,85.7
Ease of paying taxes,Australia,85.6
Credit,USA,85.5
Information and communication technologies (ICTs),USA,85.2
Environmental performance,USA,84.7
Political environment,Australia,83.9
Ease of paying taxes,USA,83.8
Market sophistication,USA,83.4
ICT access,USA,82.7
ICT access,Australia,82.3
Government effectiveness,Australia,82.2
Political stability and absence of violence/terrorism,USA,80.8
Political environment,USA,80.3
Government effectiveness,USA,79.7
ICTs and business model creation,USA,79.2
Tertiary enrolment,Australia,79.2
Employment in knowledge-intensive services,Australia,78.8
Research and development (R&D),USA,78.8
Ease of resolving insolvency,Australia,78.7
"Assessment in reading, mathematics, and science",Australia,77.1
ICT use,Australia,77
University/industry research collaboration,USA,76.2
Domestic credit to private sector,USA,76
State of cluster development,USA,76
ICT use,USA,75.7
Regulatory quality,USA,75.3
Tertiary enrolment,USA,75.2
School life expectancy,USA,74.1
Credit,Australia,72.5
Investment,USA,72.2
"Assessment in reading, mathematics, and science",USA,70.3
ICTs and business model creation,Australia,68.5
High-tech imports,USA,68.4
Scientific and technical publications,Australia,68.3
Knowledge workers,Australia,67.5
Knowledge workers,USA,67.4
Employment in knowledge-intensive services,USA,66.5
Online creativity,USA,65.4
Market sophistication,Australia,65.3
Gross expenditure on R&D (GERD),USA,65
Infrastructure,Australia,64.8
Research and development (R&D),Australia,64
Generic top-level domains (gTLDs),Australia,63.6
Citable documents H index,Australia,63.5
Knowledge creation,USA,63.4
Infrastructure,USA,61
Human capital and research,Australia,60.2
Market capitalization,USA,59.4
Education,Australia,58.6
Tertiary education,Australia,58.1
Human capital and research,USA,57.2
Business sophistication,USA,56.4
Online creativity,Australia,56.2
Knowledge absorption,USA,55.2
Domestic credit to private sector,Australia,55.1
Researchers,Australia,54.8
Education,USA,54.7
University/industry research collaboration,Australia,54.5
Knowledge and technology outputs,USA,54.4
Joint venture/strategic alliance deals,Australia,53.9
General infrastructure,Australia,53.7
Creative outputs,USA,53.5
Country-code top-level domains (ccTLDs),Australia,52.8
General infrastructure,USA,52.8
Knowledge impact,USA,52.5
Ecological sustainability,Australia,51.8
Researchers,USA,51.2
Gross expenditure on R&D (GERD),Australia,50.9
Intangible assets,Australia,50.3
Intangible assets,USA,50.1
State of cluster development,Australia,49.6
Expenditure on education,Australia,48.9
Creative goods and services,USA,48.2
Growth rate of GDP per person engaged,Australia,48.1
Electricity output,USA,48
Knowledge diffusion,USA,47.3
Growth rate of GDP per person engaged,USA,46.9
Innovation linkages,USA,46.6
Creative outputs,Australia,46.1
Business sophistication,Australia,45.4
Investment,Australia,45.2
Ecological sustainability,USA,45
Expenditure on education,USA,45
Video uploads on YouTube,Australia,44.8
Knowledge impact,Australia,44
High-tech imports,Australia,40.5
Tertiary education,USA,38.1
Market capitalization,Australia,37.9
Electricity output,Australia,37.3
Creative goods exports,USA,36.6
Knowledge absorption,Australia,36.6
Knowledge creation,Australia,34.3
Knowledge and technology outputs,Australia,32.1
Innovation linkages,Australia,32
Printing and publishing output,Australia,30.7
Joint venture/strategic alliance deals,USA,29.4
GDP per unit of energy use,Australia,29.2
Graduates in science and engineering,Australia,28.9
Creative goods and services,Australia,27.4
Printing and publishing output,USA,27.4
Scientific and technical publications,USA,27.4
GDP per unit of energy use,USA,26.8
Graduates in science and engineering,USA,26.6
ISO 14001 environmental certificates,Australia,26.1
Total computer software spending,Australia,25.2
High-tech exports,USA,24.2
Creative goods exports,Australia,21.6
ISO 9001 quality certificates,Australia,19.6
Knowledge diffusion,Australia,17.9
National feature films produced,USA,12.7
GERD financed by abroad,USA,7.8
National feature films produced,Australia,7.1
High-tech exports,Australia,6.9
ISO 9001 quality certificates,USA,3
Country-code top-level domains (ccTLDs),USA,2.9
GERD financed by abroad,Australia,2.7
ISO 14001 environmental certificates,USA,2.2
